code,title,prereq,antireq,term,ID,description
NE100,Introduction to Nanotechnology Engineering,Level 1A Nanotechnology Engineering,,F,011923,"An introduction to nanotechnology engineering and its various applications from electronics to biology. Basic concepts related to nanomaterials and devices, fabrication approaches, and characterization methods. Introduction to engineering iterative design, computer aided design (CAD) and modelling. Application of CAD methods in relevant nanotechnology engineering problems. Engineering report preparation skills."
NE101,Nanotechnology Engineering Practice,Level 1A Nanotechnology Engineering,,F,011915,Areas of research and professional practice in nanotechnology engineering; exposure to concepts from other engineering plans; support material for the 1A academic term.
NE102,Introduction to Nanomaterials Health Risk; Nanotechnology Engineering Practice,Level at least 1B Nanotechnology Engineering,,,011916,"Introduction to types of nanomaterials hazards their identification, toxicity, and characterization; exposure health-risk assessment; cancer and non-cancer risks. Areas of research and professional practice in nanotechnology engineering; exposure to concepts from other engineering plans; support material for the 1B academic term, including aspects of co-operative education and professional or career development.  "
NE109,Societal and Environmental Impacts of Nanotechnology,Level 1A Nanotechnology Engineering,,F,014982,"An introduction to the field of nanotechnology and its ability to impact society and affect sustainability. How utilization of nanotechnology has simultaneously improved societal standards of living and introduced new ethical, health, and environmental concerns will be examined. Topics covered will include: the history of changing perceptions of and attention devoted to developments in nanotechnology; special health and environmental concerns associated with nanomaterials; the development and means of implementation of regulations to deal with the use of nanomaterials; ethical issues associated with nanotechnology and its applications. Intellectual property issues in general, and those pertaining to nanotechnology specifically, will also be discussed briefly. Relevant case studies will be presented and discussed."
NE111,Introduction to Programming for Engineers,Level 1A Nanotechnology Engineering,,,014677,"Introduction to programming and numerical computing using a high-level interpreted programming language. Programming fundamentals, computer architecture, design and use of functions, strings and text input/output, relational operators, conditionals, lists, loops, designing algorithms, numerical computing, plotting, and file input/output. "
NE112,Linear Algebra for Nanotechnology Engineers,1A Nanotechnology Engineering.,"MATH 114, 115, 106, 136, 146, SYDE 114",F,011924,"Matrices, operations on matrices. Determinants. Adjoints and inverses. Solution of linear equations: elimination and iterative methods. Eigenvalues and eigenvectors with engineering applications. Complex numbers."
NE113,Introduction to Computational Methods,Level at least 1B Nanotechnology Engineering.,"CHE 121, CIVE 121, CS 115, 123, 134, 135, 145, ECE 150, MTE 121/GENE 121, PHYS 139, SYDE 121",W,011925,"Spreadsheets for problem solving, plotting, fitting data. Problem solution plotting, and creating complex programs in an engineering prototypical programming environment. Elementary numerical methods: Taylor-series summations, roots of equations, roots of polynomials, direct and indirect solution methods for systems of linear, and nonlinear algebraic equations, integration. Applications in nanotechnology engineering."
NE121,Chemical Principles,Level 1A Nanotechnology Engineering.,"CHE 102, CHEM 120, 123",F,011928,"Chemical reactions. Mass and charge balance. Introduction to the first, second, and third laws of thermodynamics. Chemical equilibrium. Applications of chemical equilibrium principles to proton-transfer reactions. Electronic structure of atoms and molecules. Periodicity and chemical bonding."
NE125,Introduction to Materials Science and Engineering,NE 121; Level at least 1B Nanotechnology Engineering.,"CHE 241, CIVE 265, ME 235",W,012238,"Fundamentals of crystalline structure, crystal defects, and noncrystallinity. Structure and properties of metals, ceramics, glasses, amorphous materials, polymers, and composites. Processing and concepts of engineering design of materials."
NE131,Physics for Nanotechnology Engineering,MATH 117; Level at least 1B Nanotechnology Engineering.,"PHYS 111, 115, 121, SYDE 182",W,011930,"A first course in physics that introduces basic topics in classical mechanics, wave mechanics, and physical optics."
